Propeties,Class,Class,Class,Disabled Access,Smoking,Area
501,Deluxe Twin,Deluxe Twin,5,,,a
502,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,5,,,b
503,Deluxe Twin,Deluxe Twin,5,,,c
504,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,5,,,a
506,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,5,,,b
508,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,5,,,c
510,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,5,,,a
512,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,5,,,b
514,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,5,,,c
515,Deluxe Twin,Deluxe Twin,5,,,a
516,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,5,,,b
517,Deluxe King,Deluxe King,5,,,c
518,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,5,,,a
519,Deluxe Twin,Deluxe Twin,5,,,b
520,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,5,,,c
521,Deluxe King,Deluxe King,5,,,a
522,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,5,,,b
523,Deluxe Twin,Deluxe Twin,5,,,c
524,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,5,,,a
525,Deluxe King,Deluxe King,5,,,b
526,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,5,,,c
527,Deluxe Twin,Deluxe Twin,5,,,a
528,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,5,,,b
529,Deluxe Twin,Deluxe Twin,5,TRUE,,c
601,Deluxe Twin,Deluxe Twin,6,,,a
602,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,6,,,b
603,Deluxe Twin,Deluxe Twin,6,,,c
604,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,6,,,a
606,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,6,,,b
608,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,6,,,c
610,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,6,,,a
612,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,6,,,b
614,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,6,,,c
615,Deluxe Twin,Deluxe Twin,6,,,a
616,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,6,,,b
617,Deluxe King,Deluxe King,6,,,c
618,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,6,,,a
619,Deluxe Twin,Deluxe Twin,6,TRUE,,b
620,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,6,TRUE,,c
621,Deluxe King,Deluxe King,6,,,a
622,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,6,,,b
623,Deluxe Twin,Deluxe Twin,6,,,c
624,Deluxe Balcony Seaview Twin ,Deluxe Balcony Seaview Twin ,6,,,a
625,Deluxe King,Deluxe King,6,,,b
626,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,6,,,c
627,Deluxe Twin,Deluxe Twin,6,,,a
628,Deluxe Balcony Seaview King ,Deluxe Balcony Seaview King ,6,TRUE,,b
629,Deluxe Twin,Deluxe Twin,6,,,c
701,Deluxe Twin,Deluxe Twin,7,,,a
